SAMPLE,SITE,AGE,CLASS,LABEL,TREE,SITE.TREE,CLASS.TREE,SITE.TREE.N,WT_MG,d13C,d15N,Cumol,Numol,CN,PCT_C,PCT_N,PctMoist,SLAgm2,SLAkgm2,SLAkgha,CMASStree_gm2,NMASStree_gm2,CMASStree_kgha,NMASStree_kgha
S02.MN.1.1,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.1,3.06,-26.63014078,-1.138404189,119.6066011,5.910098905,20.23766488,46.90454943,2.703966819,40.74074074,101.8591636,0.101859164,1018.591636,47.77658174,2.754237986,477.7658174,27.54237986
S02.MN.1.2,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.1,3.03,-26.90817864,-1.343921317,121.9315458,6.323282906,19.28294964,48.28972113,2.921648868,37.5,95.49296586,0.095492966,954.9296586,46.11328691,2.789969156,461.1328691,27.89969156
S02.MN.2.1,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.2,2.985,-28.1064244,-1.921382434,116.9157713,6.756246842,17.30357893,47.03768612,3.171509557,20,101.8591636,0.101859164,1018.591636,47.91219366,3.230473108,479.1219366,32.30473108
S02.MN.2.2,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.2,2.98,-27.99810611,-1.307280265,117.2865791,6.670131516,17.58384806,47.22949494,3.133618833,20,101.8591636,0.101859164,1018.591636,48.10756852,3.191877934,481.0756852,31.91877934
S02.MT.1.1,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.1,3.78,-26.24161435,1.785850408,156.5963162,7.102283377,22.04872826,49.71311626,2.630475325,41.66666667,90.94568177,0.090945682,909.4568177,45.21193251,2.392303718,452.1193251,23.92303718
S02.MT.1.2,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.1,3.06,-26.35947561,1.102657668,124.2614135,5.013677573,24.78448438,48.72996607,2.293839412,30.43478261,103.937922,0.103937922,1039.37922,50.64891413,2.384169019,506.4891413,23.84169019
S02.MT.2.1,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.2,2.86,-25.32293605,1.18214498,115.7426327,4.728072739,24.47987565,48.5633424,2.314441201,28,116.9301623,0.116930162,1169.301623,56.78519509,2.706279853,567.8519509,27.06279853
S02.MT.2.2,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.2,3.62,-25.14745584,0.977817985,150.2148652,5.779326225,25.99176086,49.79498293,2.23509854,29.62962963,123.4262824,0.123426282,1234.262824,61.46009626,2.758699036,614.6009626,27.58699036
S02.MZ.1.1,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.1,3.79,-25.81157639,0.947973,147.8308463,4.044345972,36.55247283,46.8066004,1.493953657,40,143.2394488,0.143239449,1432.394488,67.04551641,2.139930984,670.4551641,21.39930984
S02.MZ.1.2,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.1,3.1,-25.89458288,0.996111323,119.6066011,3.26787617,36.600714,46.29932944,1.475815044,38.70967742,151.1971959,0.151197196,1511.971959,70.00328783,2.231390964,700.0328783,22.31390964
S02.MZ.2.1,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.2,4.19,-26.54106769,1.132846934,166.2341307,4.044345972,41.10284625,47.60882024,1.351332783,37.5,159.1549431,0.159154943,1591.549431,75.77179076,2.150712922,757.7179076,21.50712922
S02.MZ.2.2,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.2,3.24,-26.71931109,0.201219674,127.3755614,3.089724215,41.22554395,47.17613386,1.335066019,44.11764706,151.1971959,0.151197196,1511.971959,71.32899153,2.018582384,713.2899153,20.18582384
S07.MN.1.1,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.77,-28.54601969,0.118406462,152.807755,11.15263854,13.70148906,48.6390732,4.141563385,42.85714286,76.39437268,0.076394373,763.9437268,37.15751485,3.163921367,371.5751485,31.63921367
S07.MN.1.2,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.1,-28.57133665,-0.654308971,128.214996,7.834305289,16.36584117,49.63161136,3.538073356,40.90909091,82.76057041,0.08276057,827.6057041,41.07540467,2.928129691,410.7540467,29.28129691
S07.MN.1.3,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.48,-27.88403537,0.05217829,143.4347241,9.841360596,14.57468434,49.4602497,3.959168056,41.66666667,89.12676813,0.089126768,891.2676813,44.08232207,3.528678533,440.8232207,35.28678533
S07.MN.2.1,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.12,-27.25507505,-1.294559846,130.8481655,7.81716735,16.73856522,50.32621751,3.507703298,34.7826087,95.49296586,0.095492966,954.9296586,48.05799771,3.349609913,480.5799771,33.49609913
S07.MN.2.2,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.29,-27.05618883,-1.342762328,120.9028638,6.363603773,18.99911876,44.09830898,2.707916499,40.90909091,82.76057041,0.08276057,827.6057041,36.49601206,2.241087141,364.9601206,22.41087141
S07.MN.2.3,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.51,-27.17565794,-1.340578995,143.288319,7.594878774,18.86656035,48.99211077,3.029534688,41.66666667,89.12676813,0.089126768,891.2676813,43.66508497,2.700126356,436.6508497,27.00126356
S07.MT.2.1,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.2,2.885,-26.02931266,2.000709399,127.7778798,6.406920694,19.95063971,53.14488555,3.107900204,42.10526316,71.45732139,0.071457321,714.5732139,37.97591167,2.220822237,379.7591167,22.20822237
S07.MT.2.2,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.2,3.45,-26.20848816,1.579908889,146.6560981,7.76578609,18.88490057,51.01081673,3.151333486,29.16666667,110.4340421,0.110434042,1104.340421,56.33330683,3.480144948,563.3330683,34.80144948
S07.MT.2.3,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.2,3.37,-25.86602608,2.015036468,146.3632197,7.39048237,19.80428508,52.11746696,3.070230065,33.33333333,90.94568177,0.090945682,909.4568177,47.39858565,2.792241664,473.9858565,27.92241664
S07.MT.5.1,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.5,3.96,-26.07546068,2.499165366,157.7893606,6.064448399,26.01874898,47.81495776,2.143996909,32,110.4340421,0.110434042,1104.340421,52.80399058,2.367702449,528.0399058,23.67702449
S07.MT.5.2,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.5,3.41,-26.03103288,2.565314233,134.3597186,4.723876631,28.44268154,47.28201242,1.939421491,33.33333333,116.9301623,0.116930162,1169.301623,55.28693386,2.267768697,552.8693386,22.67768697
S07.MT.5.3,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.5,3.67,-25.84138304,2.397366147,146.6560981,5.487790135,26.72407189,47.95294761,2.093434929,24,123.4262824,0.123426282,1234.262824,59.18654054,2.583848907,591.8654054,25.83848907
S07.MZ.1.1,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.1,2.89,-28.25904431,2.006630713,114.3263187,3.294906346,34.68661958,47.52014943,1.598491571,44.44444444,119.3662073,0.119366207,1193.662073,56.72300008,1.908058763,567.2300008,19.08058763
S07.MZ.1.2,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.1,3.43,-28.5580017,1.951326491,137.2865894,3.876821513,35.41215115,48.03029368,1.582376128,50,119.3662073,0.119366207,1193.662073,57.33193992,1.888822369,573.3193992,18.88822369
S07.MZ.1.3,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.1,2.98,-28.57070834,1.798209572,119.4408305,3.797697443,31.45085469,48.09697871,1.784153161,42.30769231,119.3662073,0.119366207,1193.662073,57.41153931,2.129675961,574.1153931,21.29675961
S07.MZ.2.1,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.2,3.85,-25.9436137,1.883859098,164.8247944,8.506917294,19.3753846,51.37396188,3.093424471,41.93548387,143.2394488,0.143239449,1432.394488,73.58777982,4.431004161,735.8777982,44.31004161
S07.MZ.2.2,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.2,3.02,-25.86855127,1.545011921,133.1891171,6.899776457,19.30339597,52.92282798,3.198571868,54.83870968,111.4084602,0.11140846,1114.084602,58.96050774,3.563479666,589.6050774,35.63479666
S07.MZ.2.3,S07,100,VIL,MATURE,MZ,S07.MZ,VIL.MZ,S07.MZ.2,3.13,-25.68460358,1.809354478,136.1157782,6.815633211,19.97111259,52.18496289,3.048526037,46.875,135.2817016,0.135281702,1352.817016,70.59670578,4.124097896,705.9670578,41.24097896
S08.MN.1.1,S08,3,C01,3-4,MN,S08.MN,C01.MN,S08.MN.1,2.66,-27.69115119,0.483227433,103.4698272,4.859972541,21.29020818,46.67811751,2.557880284,54.05405405,108.2253613,0.108225361,1082.253613,50.51756133,2.76827518,505.1756133,27.6827518
S08.MN.1.2,S08,3,C01,3-4,MN,S08.MN,C01.MN,S08.MN.1,3.06,-27.34089876,0.403792458,118.8327134,5.648412655,21.03824927,46.60106409,2.584241084,57.5,108.2253613,0.108225361,1082.253613,50.43416998,2.79680425,504.3416998,27.9680425
S08.MN.2.1,S08,3,C01,3-4,MN,S08.MN,C01.MN,S08.MN.2,2.68,-27.24393279,-0.638209861,103.4698272,6.018968513,17.19062443,46.32977335,3.144237283,58.33333333,95.49296586,0.095492966,954.9296586,44.24167465,3.002525435,442.4167465,30.02525435
S08.MN.2.2,S08,3,C01,3-4,MN,S08.MN,C01.MN,S08.MN.2,3.06,-27.32777306,-0.582498655,118.0593728,7.403858238,15.94565549,46.29779324,3.387386122,61.76470588,82.76057041,0.08276057,827.6057041,38.31631778,2.803420077,383.1631778,28.03420077
S08.MT.1.1,S08,3,C01,3-4,MT,S08.MT,C01.MT,S08.MT.1,3.22,-27.12529039,2.818323611,128.9359173,5.232923533,24.63936583,48.0506524,2.275184145,41.17647059,129.9224025,0.129922403,1299.224025,62.42856202,2.955973902,624.2856202,29.55973902
S08.MT.1.2,S08,3,C01,3-4,MT,S08.MT,C01.MT,S08.MT.1,2.98,-25.96009688,1.759348579,118.8329869,4.684072873,25.3693694,47.85170296,2.200561241,51.42857143,110.4340421,0.110434042,1104.340421,52.8445698,2.430168727,528.445698,24.30168727
S08.MT.2.1,S08,3,C01,3-4,MT,S08.MT,C01.MT,S08.MT.2,2.9,-25.08810237,1.80640372,120.3810357,5.232923533,23.00454706,49.81284235,2.526238947,45.45454545,116.9301623,0.116930162,1169.301623,58.2462374,2.9539353,582.462374,29.539353
S08.MT.2.2,S08,3,C01,3-4,MT,S08.MT,C01.MT,S08.MT.2,2.77,-26.16742395,2.446381097,113.4308155,5.145272112,22.04563977,49.13970347,2.60049854,51.61290323,97.44180189,0.097441802,974.4180189,47.88261251,2.533972636,478.8261251,25.33972636
S08.MZ.2.1,S08,3,C01,3-4,MZ,S08.MZ,C01.MZ,S08.MZ.2,3.14,-27.72222045,2.368021531,125.03913,3.623428663,34.50851158,47.78565477,1.615541442,56.75675676,127.3239545,0.127323954,1273.239545,60.84258534,2.056971251,608.4258534,20.56971251
S08.MZ.2.2,S08,3,C01,3-4,MZ,S08.MZ,C01.MZ,S08.MZ.2,2.69,-29.10417914,2.602634931,105.760312,3.201098539,33.03875552,47.17932135,1.66599924,50,143.2394488,0.143239449,1432.394488,67.57939985,2.386368128,675.7939985,23.86368128
S08.MZ.3.1,S08,3,C01,3-4,MZ,S08.MZ,C01.MZ,S08.MZ.3,2.73,-27.56016628,1.699711744,102.7074262,3.245620873,31.64492409,45.14612139,1.66442096,56.81818182,151.1971959,0.151197196,1511.971959,68.2596696,2.51655782,682.596696,25.1655782
S08.MZ.3.2,S08,3,C01,3-4,MZ,S08.MZ,C01.MZ,S08.MZ.3,2.64,-27.5295298,1.615054957,104.9962701,3.245620873,32.35013398,47.72557731,1.721162584,58.69565217,151.1971959,0.151197196,1511.971959,72.15973463,2.602349564,721.5973463,26.02349564
S10.MN.1.1,S10,4,C01,3-4,MN,S10.MN,C01.MN,S10.MN.1,3.57,-27.89106366,-0.373330364,142.2872798,8.666352894,16.41835748,47.82765709,3.398569762,18.18181818,114.591559,0.114591559,1145.91559,54.80645789,3.894474075,548.0645789,38.94474075
S10.MN.1.2,S10,4,C01,3-4,MN,S10.MN,C01.MN,S10.MN.1,3.37,-27.50014043,-0.249806529,131.2939545,8.303479466,15.81154605,46.74138217,3.448836607,42.85714286,101.8591636,0.101859164,1018.591636,47.61038094,3.512956122,476.1038094,35.12956122
S10.MT.2.1,S10,4,C01,3-4,MT,S10.MT,C01.MT,S10.MT.2,2.87,-25.5869153,3.446862706,114.97148,6.062488961,18.96440237,48.07169896,2.957311688,32.14285714,123.4262824,0.123426282,1234.262824,59.33311091,3.650099876,593.3311091,36.50099876
S10.MT.2.2,S10,4,C01,3-4,MT,S10.MT,C01.MT,S10.MT.2,3.27,-25.80681423,3.220003901,132.0631928,6.691776289,19.73514761,48.46355699,2.864980674,32,110.4340421,0.110434042,1104.340421,53.52026493,3.163913964,535.2026493,31.63913964
S10.MT.3.1,S10,4,C01,3-4,MT,S10.MT,C01.MT,S10.MT.3,2.86,-26.91978482,4.178527833,115.7426327,5.801131455,19.95173418,48.5633424,2.839714698,42.30769231,97.44180189,0.097441802,974.4180189,47.32099589,2.767069171,473.2099589,27.67069171
S10.MT.3.2,S10,4,C01,3-4,MT,S10.MT,C01.MT,S10.MT.3,2.65,-26.85696143,4.458177585,103.4698272,5.189105649,19.93981895,46.85426135,2.741414305,37.03703704,110.4340421,0.110434042,1104.340421,51.74305471,3.027454628,517.4305471,30.27454628
S10.MZ.1.1,S10,4,C01,3-4,MZ,S10.MZ,C01.MZ,S10.MZ.1,2.7,-27.91686919,5.719997474,105.760312,4.132780116,25.59059738,47.00458313,2.142923023,51.42857143,135.2817016,0.135281702,1352.817016,63.58859988,2.89898273,635.8859988,28.9898273
S10.MZ.1.2,S10,4,C01,3-4,MZ,S10.MZ,C01.MZ,S10.MZ.1,3.26,-27.62029648,5.857917019,127.3755614,4.925869607,25.85849232,46.88670972,2.115404126,47.22222222,151.1971959,0.151197196,1511.971959,70.89139035,3.19843172,708.9139035,31.9843172
S10.MZ.2.1,S10,4,C01,3-4,MZ,S10.MZ,C01.MZ,S10.MZ.2,3.76,-27.88478675,6.521785146,151.0106321,5.539210389,27.26212249,48.19488259,2.062471953,46.875,135.2817016,0.135281702,1352.817016,65.19885725,2.790147153,651.9885725,27.90147153
S10.MZ.2.2,S10,4,C01,3-4,MZ,S10.MZ,C01.MZ,S10.MZ.2,3.13,-28.31484005,6.836223498,123.484244,4.837999024,25.52382572,47.34220215,2.163961225,45.45454545,143.2394488,0.143239449,1432.394488,67.81270942,3.099646131,678.1270942,30.99646131
S12.MN.1.1,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.1,3.01,-27.39012445,-1.222226326,118.5141115,6.37598536,18.58757585,47.24815076,2.965574586,44.44444444,95.49296586,0.095492966,954.9296586,45.11866048,2.831915127,451.1866048,28.31915127
S12.MN.1.2,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.1,3.16,-26.94732069,-0.942859315,122.3563015,6.504963573,18.80968281,46.46441829,2.881945887,40,95.49296586,0.095492966,954.9296586,44.37025109,2.752055602,443.7025109,27.52055602
S12.MN.2.1,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.2,3.64,-28.5500863,-1.009126351,146.4802624,7.36272396,19.89484642,48.29019641,2.831816908,55.55555556,76.39437268,0.076394373,763.9437268,36.89099261,2.163348762,368.9099261,21.63348762
S12.MN.2.2,S12,24,C02,10-24,MN,S12.MN,C02.MN,S12.MN.2,3.51,-28.47826928,-1.057289522,137.8605377,6.698277231,20.58149177,47.13180776,2.671677528,51.85185185,82.76057041,0.08276057,827.6057041,39.00655295,2.211095562,390.0655295,22.11095562
S12.MT.1.1,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.1,3.22,-25.18824507,1.81589271,127.7581275,5.18986625,24.61684393,47.61172453,2.256463587,28.57142857,97.44180189,0.097441802,974.4180189,46.39372229,2.198738778,463.9372229,21.98738778
S12.MT.1.2,S12,24,C02,10-24,MT,S12.MT,C02.MT,S12.MT.1,2.77,-24.64844063,1.892577109,116.9810288,5.038411638,23.21783873,50.67770202,2.546489636,32,110.4340421,0.110434042,1104.340421,55.96543479,2.812191437,559.6543479,28.12191437
